lottery_type,date,draw,main_numbers,supplementary,source
Monday Lotto,2024-05-13,4390,6 8 34 37 39 45 ,22 43 ,ozlotteries.com
Monday Lotto,2024-05-06,4388,1 2 21 26 32 40 ,14 42 ,ozlotteries.com
Monday Lotto,2024-04-29,4386,10 23 28 32 34 43 ,4 20 ,ozlotteries.com
Monday Lotto,2024-04-22,4384,4 6 8 14 25 34 ,7 37 ,ozlotteries.com
Monday Lotto,2024-04-15,4382,5 14 21 29 32 45 ,12 22 ,ozlotteries.com
Monday Lotto,2024-04-08,4380,1 9 12 16 22 43 ,15 32 ,ozlotteries.com
Monday Lotto,2024-04-01,4378,4 5 13 30 31 34 ,15 22 ,ozlotteries.com
Monday Lotto,2024-03-25,4376,4 11 19 31 32 35 ,25 43 ,ozlotteries.com
Monday Lotto,2024-03-18,4374,2 4 16 27 34 39 ,11 18 ,ozlotteries.com
Monday Lotto,2024-03-11,4372,3 5 13 16 19 35 ,40 44 ,ozlotteries.com
Monday Lotto,2024-03-04,4370,18 20 22 24 30 37 ,38 41 ,ozlotteries.com
