lottery_type,date,draw,main_numbers,supplementary,source
Powerball,2025-03-27,1506,7 9 11 13 17 21 24 ,11 ,ozlotteries.com
Powerball,2025-03-20,1505,1 2 9 16 17 18 32 ,1 ,ozlotteries.com
Powerball,2025-03-13,1504,4 5 6 7 11 19 30 ,20 ,ozlotteries.com
Powerball,2025-03-06,1503,5 6 18 21 22 23 33 ,16 ,ozlotteries.com
Powerball,2025-02-27,1502,1 7 11 22 25 26 35 ,3 ,ozlotteries.com
Powerball,2025-02-20,1501,1 3 8 14 16 24 26 ,4 ,ozlotteries.com
Powerball,2025-02-13,1500,1 10 23 26 28 31 34 ,3 ,ozlotteries.com
Powerball,2025-02-06,1499,10 19 20 23 24 31 34 ,14 ,ozlotteries.com
Powerball,2025-01-30,1498,1 2 12 13 18 19 23 ,4 ,ozlotteries.com
Powerball,2025-01-23,1497,9 11 12 17 27 29 32 ,18 ,ozlotteries.com
Powerball,2025-01-16,1496,2 6 13 14 25 30 31 ,2 ,ozlotteries.com
Powerball,2025-01-09,1495,1 2 8 11 17 19 26 ,11 ,ozlotteries.com
Powerball,2025-01-02,1494,8 9 15 18 21 22 27 ,19 ,ozlotteries.com
Powerball,2024-12-26,1493,1 3 9 18 20 28 29 ,9 ,ozlotteries.com
Powerball,2024-12-19,1492,3 9 12 16 23 29 30 ,19 ,ozlotteries.com
Powerball,2024-12-12,1491,3 9 11 14 16 19 23 ,16 ,ozlotteries.com
Powerball,2024-12-05,1490,5 6 7 11 30 32 33 ,11 ,ozlotteries.com
Powerball,2024-11-28,1489,1 4 9 10 22 26 31 ,14 ,ozlotteries.com
Powerball,2024-11-21,1488,3 11 15 19 22 30 31 ,2 ,ozlotteries.com
Powerball,2024-11-14,1487,4 5 10 11 14 19 25 ,20 ,ozlotteries.com
Powerball,2024-11-07,1486,3 15 23 26 31 32 33 ,6 ,ozlotteries.com
Powerball,2024-10-31,1485,3 9 11 14 26 34 35 ,7 ,ozlotteries.com
Powerball,2024-10-24,1484,1 5 8 9 14 22 33 ,2 ,ozlotteries.com
Powerball,2024-10-17,1483,2 6 16 21 27 30 35 ,7 ,ozlotteries.com
Powerball,2024-10-10,1482,5 7 10 11 28 33 35 ,1 ,ozlotteries.com
Powerball,2024-10-03,1481,10 11 13 15 16 18 34 ,2 ,ozlotteries.com
Powerball,2024-09-26,1480,9 10 12 15 20 29 30 ,16 ,ozlotteries.com
Powerball,2024-09-19,1479,4 7 9 10 12 24 32 ,15 ,ozlotteries.com
Powerball,2024-09-12,1478,9 12 22 24 31 32 34 ,10 ,ozlotteries.com
Powerball,2024-09-05,1477,3 7 13 18 21 25 32 ,18 ,ozlotteries.com
Powerball,2024-08-29,1476,6 9 12 15 20 21 34 ,15 ,ozlotteries.com
Powerball,2024-08-22,1475,4 10 11 16 18 23 24 ,6 ,ozlotteries.com
Powerball,2024-08-15,1474,1 8 11 12 16 18 28 ,15 ,ozlotteries.com
Powerball,2024-08-08,1473,4 7 8 20 23 29 32 ,17 ,ozlotteries.com
Powerball,2024-08-01,1472,2 6 8 10 21 27 30 ,9 ,ozlotteries.com
Powerball,2024-07-25,1471,5 6 7 8 12 16 17 ,13 ,ozlotteries.com
Powerball,2024-07-18,1470,4 6 16 18 20 28 31 ,6 ,ozlotteries.com
Powerball,2024-07-11,1469,9 12 16 17 19 20 22 ,9 ,ozlotteries.com
Powerball,2024-07-04,1468,6 8 9 12 13 21 30 ,4 ,ozlotteries.com
Powerball,2024-06-27,1467,5 8 9 12 18 33 34 ,6 ,ozlotteries.com
Powerball,2024-06-20,1466,1 11 17 20 23 30 32 ,16 ,ozlotteries.com
Powerball,2024-06-13,1465,2 6 9 17 25 26 32 ,4 ,ozlotteries.com
Powerball,2024-06-06,1464,2 3 5 14 18 20 30 ,4 ,ozlotteries.com
Powerball,2024-05-30,1463,2 3 10 20 22 33 35 ,9 ,ozlotteries.com
Powerball,2024-05-23,1462,4 6 8 18 28 29 34 ,11 ,ozlotteries.com
Powerball,2024-05-16,1461,1 2 9 12 13 14 18 ,3 ,ozlotteries.com
Powerball,2024-05-09,1460,1 3 6 12 16 18 32 ,4 ,ozlotteries.com
Powerball,2024-05-02,1459,2 4 5 7 13 23 25 ,16 ,ozlotteries.com
Powerball,2024-04-25,1458,3 17 20 28 29 32 34 ,18 ,ozlotteries.com
Powerball,2024-04-18,1457,9 18 22 23 31 34 35 ,1 ,ozlotteries.com
Powerball,2024-04-11,1456,4 6 20 21 24 25 30 ,2 ,ozlotteries.com
Powerball,2024-04-04,1455,1 7 10 19 20 25 31 ,11 ,ozlotteries.com
Powerball,2024-03-28,1454,6 9 15 18 19 29 34 ,4 ,ozlotteries.com
Powerball,2024-03-21,1453,3 7 10 12 13 24 25 ,11 ,ozlotteries.com
Powerball,2024-03-14,1452,5 15 24 27 30 32 35 ,2 ,ozlotteries.com
Powerball,2024-03-07,1451,2 4 6 8 20 24 30 ,10 ,ozlotteries.com
