lottery_type,date,draw,main_numbers,supplementary,source
Powerball,2023-05-04,1407,2 13 18 20 31 34 35 ,9 ,ozlotteries.com
Powerball,2023-04-27,1406,6 16 19 27 28 30 33 ,17 ,ozlotteries.com
Powerball,2023-04-20,1405,1 12 13 18 24 30 32 ,6 ,ozlotteries.com
Powerball,2023-04-13,1404,5 12 15 19 27 29 33 ,4 ,ozlotteries.com
Powerball,2023-04-06,1403,6 12 17 21 24 30 33 ,10 ,ozlotteries.com
Powerball,2023-03-30,1402,5 6 7 11 12 13 35 ,15 ,ozlotteries.com
Powerball,2023-03-23,1401,4 5 7 18 19 25 26 ,15 ,ozlotteries.com
Powerball,2023-03-16,1400,3 17 22 28 29 32 34 ,18 ,ozlotteries.com
Powerball,2023-03-09,1399,7 10 17 20 27 30 33 ,1 ,ozlotteries.com
Powerball,2023-03-02,1398,13 14 16 18 19 21 29 ,18 ,ozlotteries.com
Powerball,2023-02-23,1397,3 5 6 11 24 26 30 ,9 ,ozlotteries.com
Powerball,2023-02-16,1396,5 8 12 13 20 21 35 ,8 ,ozlotteries.com
Powerball,2023-02-09,1395,3 8 11 16 28 32 35 ,13 ,ozlotteries.com
Powerball,2023-02-02,1394,2 7 15 21 24 31 35 ,18 ,ozlotteries.com
Powerball,2023-01-26,1393,1 15 21 28 30 31 33 ,16 ,ozlotteries.com
Powerball,2023-01-19,1392,3 19 21 30 32 34 35 ,1 ,ozlotteries.com
Powerball,2023-01-12,1391,3 10 18 22 29 30 34 ,5 ,ozlotteries.com
Powerball,2023-01-05,1390,5 7 9 13 21 27 35 ,6 ,ozlotteries.com
Powerball,2022-12-29,1389,4 6 9 22 23 24 26 ,18 ,ozlotteries.com
Powerball,2022-12-22,1388,5 7 18 21 23 28 31 ,4 ,ozlotteries.com
Powerball,2022-12-15,1387,1 7 19 21 22 26 34 ,2 ,ozlotteries.com
Powerball,2022-12-08,1386,4 10 14 18 19 21 35 ,11 ,ozlotteries.com
Powerball,2022-12-01,1385,2 4 5 7 8 29 34 ,15 ,ozlotteries.com
Powerball,2022-11-24,1384,6 9 14 25 27 31 33 ,15 ,ozlotteries.com
Powerball,2022-11-17,1383,1 5 6 7 14 19 33 ,17 ,ozlotteries.com
Powerball,2022-11-10,1382,3 5 14 15 17 22 32 ,7 ,ozlotteries.com
Powerball,2022-11-03,1381,2 6 8 12 22 24 32 ,2 ,ozlotteries.com
Powerball,2022-10-27,1380,2 4 7 10 12 18 34 ,7 ,ozlotteries.com
Powerball,2022-10-20,1379,6 11 14 17 24 25 33 ,18 ,ozlotteries.com
Powerball,2022-10-13,1378,1 13 16 18 25 31 35 ,2 ,ozlotteries.com
Powerball,2022-01-06,1338,5 15 20 27 28 29 34 ,8 ,ozlotteries.com
Powerball,2021-12-30,1337,16 18 19 23 26 32 35 ,10 ,ozlotteries.com
Powerball,2021-12-23,1336,3 10 13 16 20 29 33 ,19 ,ozlotteries.com
Powerball,2021-12-16,1335,3 18 25 30 32 33 34 ,6 ,ozlotteries.com
Powerball,2021-12-09,1334,4 9 14 25 28 29 34 ,3 ,ozlotteries.com
Powerball,2021-12-02,1333,4 5 19 26 27 30 33 ,8 ,ozlotteries.com
Powerball,2021-11-25,1332,3 9 16 17 21 22 34 ,9 ,ozlotteries.com
Powerball,2021-11-18,1331,1 3 5 8 13 19 34 ,11 ,ozlotteries.com
Powerball,2021-11-11,1330,1 2 3 4 15 17 20 ,16 ,ozlotteries.com
Powerball,2021-11-04,1329,8 12 15 18 27 30 34 ,8 ,ozlotteries.com
Powerball,2021-10-28,1328,9 10 14 15 23 26 29 ,3 ,ozlotteries.com
Powerball,2021-10-21,1327,2 7 11 17 27 28 30 ,11 ,ozlotteries.com
Powerball,2021-10-14,1326,12 17 20 22 23 27 32 ,17 ,ozlotteries.com
Powerball,2021-10-07,1325,4 13 18 25 27 29 34 ,13 ,ozlotteries.com
Powerball,2021-09-30,1324,2 7 14 18 24 25 27 ,20 ,ozlotteries.com
Powerball,2021-09-23,1323,3 8 10 14 21 23 24 ,5 ,ozlotteries.com
Powerball,2021-09-16,1322,1 8 9 22 30 31 32 ,9 ,ozlotteries.com
Powerball,2021-09-09,1321,2 3 6 8 17 20 23 ,2 ,ozlotteries.com
Powerball,2021-09-02,1320,4 5 12 14 17 25 28 ,10 ,ozlotteries.com
Powerball,2021-08-26,1319,10 11 14 25 27 28 32 ,6 ,ozlotteries.com
Powerball,2021-08-19,1318,2 7 8 9 10 26 30 ,3 ,ozlotteries.com
Powerball,2021-08-12,1317,4 10 17 19 21 23 26 ,7 ,ozlotteries.com
Powerball,2021-08-05,1316,7 10 11 12 16 21 25 ,18 ,ozlotteries.com
Powerball,2021-07-29,1315,4 7 22 23 26 33 35 ,17 ,ozlotteries.com
Powerball,2021-07-22,1314,13 15 16 20 25 28 29 ,11 ,ozlotteries.com
Powerball,2021-07-15,1313,3 11 16 17 25 26 32 ,2 ,ozlotteries.com
Powerball,2021-07-08,1312,7 8 9 15 17 19 32 ,6 ,ozlotteries.com
Powerball,2021-07-01,1311,11 13 16 17 18 19 20 ,15 ,ozlotteries.com
Powerball,2021-06-24,1310,8 13 21 28 30 31 33 ,15 ,ozlotteries.com
Powerball,2021-06-17,1309,4 10 12 13 20 26 34 ,1 ,ozlotteries.com
Powerball,2021-06-10,1308,2 13 15 24 25 32 35 ,16 ,ozlotteries.com
Powerball,2021-06-03,1307,1 11 12 14 17 19 28 ,11 ,ozlotteries.com
Powerball,2021-05-27,1306,2 5 6 10 12 24 25 ,20 ,ozlotteries.com
Powerball,2021-05-20,1305,2 5 7 8 11 14 18 ,19 ,ozlotteries.com
Powerball,2021-05-13,1304,5 7 8 11 12 19 25 ,20 ,ozlotteries.com
Powerball,2021-05-06,1303,10 14 16 21 23 25 34 ,9 ,ozlotteries.com
Powerball,2021-04-29,1302,3 10 14 15 23 30 35 ,15 ,ozlotteries.com
Powerball,2021-04-22,1301,10 17 19 21 26 31 35 ,1 ,ozlotteries.com
Powerball,2021-04-15,1300,1 5 9 12 17 19 24 ,3 ,ozlotteries.com
Powerball,2021-04-08,1299,3 4 12 13 14 21 24 ,6 ,ozlotteries.com
Powerball,2021-04-01,1298,1 7 13 23 25 26 27 ,15 ,ozlotteries.com
Powerball,2021-03-25,1297,10 12 14 15 16 21 25 ,5 ,ozlotteries.com
Powerball,2021-03-18,1296,6 16 18 29 30 33 35 ,4 ,ozlotteries.com
Powerball,2021-03-11,1295,1 8 14 17 19 21 26 ,20 ,ozlotteries.com
Powerball,2021-03-04,1294,1 6 7 18 22 28 33 ,4 ,ozlotteries.com
Powerball,2021-02-25,1293,11 17 19 20 23 25 33 ,3 ,ozlotteries.com
Powerball,2021-02-18,1292,3 13 16 19 22 25 30 ,10 ,ozlotteries.com
Powerball,2021-02-11,1291,1 7 16 20 26 29 32 ,14 ,ozlotteries.com
Powerball,2021-02-04,1290,2 6 18 29 30 33 34 ,8 ,ozlotteries.com
Powerball,2021-01-28,1289,6 10 12 13 16 20 30 ,11 ,ozlotteries.com
Powerball,2021-01-21,1288,6 15 19 22 27 29 35 ,14 ,ozlotteries.com
Powerball,2021-01-14,1287,1 2 17 20 26 27 31 ,14 ,ozlotteries.com
Powerball,2021-01-07,1286,2 3 7 17 20 22 23 ,5 ,ozlotteries.com
Powerball,2020-12-31,1285,1 2 7 8 11 16 28 ,7 ,ozlotteries.com
Powerball,2020-12-24,1284,4 9 11 12 21 29 32 ,2 ,ozlotteries.com
Powerball,2020-12-17,1283,4 5 9 16 17 29 33 ,13 ,ozlotteries.com
Powerball,2020-12-10,1282,4 8 9 11 14 19 20 ,19 ,ozlotteries.com
Powerball,2020-12-03,1281,1 12 15 17 21 28 29 ,17 ,ozlotteries.com
Powerball,2020-11-26,1280,3 7 20 21 25 30 31 ,2 ,ozlotteries.com
Powerball,2020-11-19,1279,1 7 12 13 26 30 34 ,11 ,ozlotteries.com
Powerball,2020-11-12,1278,6 9 11 14 19 23 24 ,20 ,ozlotteries.com
Powerball,2020-11-05,1277,2 3 13 14 21 24 35 ,12 ,ozlotteries.com
Powerball,2020-10-29,1276,1 2 10 16 24 28 31 ,19 ,ozlotteries.com
Powerball,2020-10-22,1275,1 5 6 10 16 19 31 ,10 ,ozlotteries.com
Powerball,2020-10-15,1274,2 7 9 15 27 31 32 ,7 ,ozlotteries.com
Powerball,2020-10-08,1273,9 10 11 17 19 20 35 ,3 ,ozlotteries.com
Powerball,2020-10-01,1272,11 15 16 18 22 26 30 ,4 ,ozlotteries.com
Powerball,2020-09-24,1271,1 3 8 11 13 31 32 ,3 ,ozlotteries.com
Powerball,2020-09-17,1270,3 4 5 7 11 19 28 ,6 ,ozlotteries.com
Powerball,2020-09-10,1269,2 8 9 10 19 23 29 ,14 ,ozlotteries.com
Powerball,2020-09-03,1268,1 3 9 13 17 23 32 ,19 ,ozlotteries.com
Powerball,2020-08-27,1267,2 13 14 16 18 23 28 ,9 ,ozlotteries.com
Powerball,2020-08-20,1266,8 12 17 18 21 23 35 ,1 ,ozlotteries.com
Powerball,2020-08-13,1265,5 6 14 15 16 24 32 ,19 ,ozlotteries.com
Powerball,2020-08-06,1264,5 7 14 18 23 27 33 ,7 ,ozlotteries.com
Powerball,2020-07-30,1263,3 9 19 24 27 30 35 ,1 ,ozlotteries.com
Powerball,2020-07-23,1262,3 7 9 16 17 28 32 ,6 ,ozlotteries.com
Powerball,2020-07-16,1261,11 14 18 23 26 32 34 ,5 ,ozlotteries.com
Powerball,2020-07-09,1260,2 21 26 28 31 32 33 ,12 ,ozlotteries.com
Powerball,2020-07-02,1259,1 6 10 15 16 21 26 ,19 ,ozlotteries.com
Powerball,2020-06-25,1258,8 12 18 20 24 27 35 ,17 ,ozlotteries.com
Powerball,2020-06-18,1257,7 14 17 22 24 28 32 ,1 ,ozlotteries.com
Powerball,2020-06-11,1256,1 14 17 22 26 28 33 ,9 ,ozlotteries.com
Powerball,2020-06-04,1255,1 5 10 12 17 20 27 ,13 ,ozlotteries.com
Powerball,2020-05-28,1254,9 10 21 24 25 30 32 ,19 ,ozlotteries.com
Powerball,2020-05-21,1253,7 8 9 18 23 30 32 ,4 ,ozlotteries.com
Powerball,2020-05-14,1252,3 4 8 22 23 24 31 ,15 ,ozlotteries.com
Powerball,2020-05-07,1251,9 12 16 23 26 29 35 ,10 ,ozlotteries.com
Powerball,2020-04-30,1250,6 9 17 25 28 32 34 ,10 ,ozlotteries.com
Powerball,2020-04-23,1249,3 6 7 14 18 32 35 ,2 ,ozlotteries.com
Powerball,2020-04-16,1248,8 12 15 18 19 24 25 ,18 ,ozlotteries.com
Powerball,2020-04-09,1247,2 4 12 18 19 27 34 ,11 ,ozlotteries.com
Powerball,2020-04-02,1246,1 3 14 17 19 22 26 ,18 ,ozlotteries.com
Powerball,2020-03-26,1245,1 12 14 16 21 27 29 ,7 ,ozlotteries.com
Powerball,2020-03-19,1244,1 10 11 12 18 20 27 ,20 ,ozlotteries.com
Powerball,2020-03-12,1243,10 17 19 20 26 28 33 ,2 ,ozlotteries.com
Powerball,2020-03-05,1242,10 16 23 24 27 28 33 ,12 ,ozlotteries.com
Powerball,2020-02-27,1241,1 9 16 17 22 24 31 ,2 ,ozlotteries.com
Powerball,2020-02-20,1240,1 3 12 13 21 26 31 ,19 ,ozlotteries.com
Powerball,2020-02-13,1239,2 5 7 14 25 29 32 ,3 ,ozlotteries.com
Powerball,2020-02-06,1238,1 2 3 11 15 26 35 ,17 ,ozlotteries.com
Powerball,2020-01-30,1237,5 8 9 17 20 22 35 ,16 ,ozlotteries.com
Powerball,2020-01-23,1236,4 5 10 13 23 27 28 ,4 ,ozlotteries.com
Powerball,2020-01-16,1235,7 14 16 20 21 25 28 ,11 ,ozlotteries.com
Powerball,2020-01-09,1234,3 4 7 9 24 29 31 ,2 ,ozlotteries.com
Powerball,2020-01-02,1233,2 3 9 21 25 27 35 ,4 ,ozlotteries.com
Powerball,2019-12-26,1232,7 9 12 17 23 26 27 ,2 ,ozlotteries.com
Powerball,2019-12-19,1231,4 8 9 10 11 29 32 ,18 ,ozlotteries.com
Powerball,2019-12-12,1230,9 11 15 16 18 28 35 ,9 ,ozlotteries.com
Powerball,2019-12-05,1229,14 19 20 27 29 30 32 ,6 ,ozlotteries.com
Powerball,2019-11-28,1228,4 12 18 20 21 23 30 ,1 ,ozlotteries.com
Powerball,2019-11-21,1227,1 2 3 12 13 23 25 ,1 ,ozlotteries.com
Powerball,2019-11-14,1226,8 10 20 24 26 28 32 ,6 ,ozlotteries.com
Powerball,2019-11-07,1225,3 7 10 12 13 21 33 ,4 ,ozlotteries.com
Powerball,2019-10-31,1224,9 10 16 18 22 29 33 ,8 ,ozlotteries.com
Powerball,2019-10-24,1223,1 7 11 12 19 24 30 ,7 ,ozlotteries.com
Powerball,2019-10-17,1222,2 6 7 9 21 22 25 ,12 ,ozlotteries.com
Powerball,2019-10-10,1221,3 6 11 16 27 28 35 ,10 ,ozlotteries.com
Powerball,2019-10-03,1220,2 11 15 20 22 25 29 ,3 ,ozlotteries.com
Powerball,2019-09-26,1219,9 22 25 26 27 30 33 ,19 ,ozlotteries.com
Powerball,2019-09-19,1218,4 5 8 17 18 26 31 ,9 ,ozlotteries.com
Powerball,2019-09-12,1217,10 11 20 27 28 30 31 ,2 ,ozlotteries.com
Powerball,2019-09-05,1216,2 4 14 16 19 27 29 ,13 ,ozlotteries.com
