lottery_type,date,draw,main_numbers,supplementary,source
Saturday Lotto,2025-03-29,4559,1 3 17 21 36 41 ,24 30 ,ozlotteries.com
Saturday Lotto,2025-03-22,4557,11 16 29 34 42 45 ,14 18 ,ozlotteries.com
Saturday Lotto,2025-03-15,4555,3 13 15 16 27 30 ,19 33 ,ozlotteries.com
Saturday Lotto,2025-03-08,4553,2 16 18 28 29 38 ,4 25 ,ozlotteries.com
Saturday Lotto,2025-03-01,4551,3 6 11 12 13 37 ,2 44 ,ozlotteries.com
Saturday Lotto,2025-02-22,4549,2 5 26 28 31 39 ,7 8 ,ozlotteries.com
Saturday Lotto,2025-02-15,4547,8 18 19 31 41 43 ,9 11 ,ozlotteries.com
Saturday Lotto,2025-02-08,4545,6 15 25 35 40 42 ,20 38 ,ozlotteries.com
Saturday Lotto,2025-02-01,4543,1 7 8 12 18 41 ,16 32 ,ozlotteries.com
Saturday Lotto,2025-01-25,4541,8 12 15 21 28 34 ,3 44 ,ozlotteries.com
Saturday Lotto,2025-01-18,4539,7 11 15 19 34 45 ,32 42 ,ozlotteries.com
Saturday Lotto,2025-01-11,4537,6 8 18 19 29 38 ,15 45 ,ozlotteries.com
Saturday Lotto,2025-01-04,4535,8 10 19 23 31 33 ,13 42 ,ozlotteries.com
Saturday Lotto,2024-12-28,4533,4 12 26 29 40 41 ,31 34 ,ozlotteries.com
Saturday Lotto,2024-12-21,4531,9 18 25 27 38 44 ,7 23 ,ozlotteries.com
Saturday Lotto,2024-12-14,4529,6 7 11 21 30 35 ,13 29 ,ozlotteries.com
Saturday Lotto,2024-12-07,4527,1 7 11 13 16 35 ,5 14 ,ozlotteries.com
Saturday Lotto,2024-11-30,4525,8 13 16 30 39 41 ,28 38 ,ozlotteries.com
Saturday Lotto,2024-11-23,4523,3 6 17 25 40 42 ,7 28 ,ozlotteries.com
Saturday Lotto,2024-11-16,4521,5 6 8 29 38 44 ,1 9 ,ozlotteries.com
Saturday Lotto,2024-11-09,4519,5 6 30 37 39 43 ,17 45 ,ozlotteries.com
Saturday Lotto,2024-11-02,4517,1 3 6 10 18 42 ,5 40 ,ozlotteries.com
Saturday Lotto,2024-10-26,4515,1 25 29 35 42 43 ,19 31 ,ozlotteries.com
Saturday Lotto,2024-10-19,4513,5 15 22 26 33 43 ,4 11 ,ozlotteries.com
Saturday Lotto,2024-10-12,4511,2 8 10 21 28 45 ,27 30 ,ozlotteries.com
