lottery_type,date,draw,main_numbers,supplementary,source
Monday Lotto,2024-05-13,4390,6 8 34 37 39 45 ,22 43 ,ozlotteries.com
Monday Lotto,2024-05-06,4388,1 2 21 26 32 40 ,14 42 ,ozlotteries.com
Monday Lotto,2024-04-29,4386,10 23 28 32 34 43 ,4 20 ,ozlotteries.com
Monday Lotto,2024-04-22,4384,4 6 8 14 25 34 ,7 37 ,ozlotteries.com
Monday Lotto,2024-04-15,4382,5 14 21 29 32 45 ,12 22 ,ozlotteries.com
Monday Lotto,2024-04-08,4380,1 9 12 16 22 43 ,15 32 ,ozlotteries.com
Monday Lotto,2024-04-01,4378,4 5 13 30 31 34 ,15 22 ,ozlotteries.com
Monday Lotto,2024-03-25,4376,4 11 19 31 32 35 ,25 43 ,ozlotteries.com
Monday Lotto,2024-03-18,4374,2 4 16 27 34 39 ,11 18 ,ozlotteries.com
Monday Lotto,2024-03-11,4372,3 5 13 16 19 35 ,40 44 ,ozlotteries.com
Monday Lotto,2024-03-04,4370,18 20 22 24 30 37 ,38 41 ,ozlotteries.com
Monday Lotto,2023-05-01,4282,6 26 29 37 39 40 ,20 38 ,ozlotteries.com
Monday Lotto,2023-04-24,4280,5 9 16 22 36 39 ,13 40 ,ozlotteries.com
Monday Lotto,2023-04-17,4278,4 21 23 25 42 45 ,7 27 ,ozlotteries.com
Monday Lotto,2023-04-10,4276,4 13 17 28 36 41 ,2 5 ,ozlotteries.com
Monday Lotto,2023-04-03,4274,8 14 18 19 35 43 ,25 28 ,ozlotteries.com
Monday Lotto,2023-03-27,4272,10 14 15 29 33 40 ,1 11 ,ozlotteries.com
Monday Lotto,2023-03-20,4270,7 14 16 21 41 43 ,5 31 ,ozlotteries.com
Monday Lotto,2023-03-13,4268,4 18 29 35 44 45 ,10 32 ,ozlotteries.com
Monday Lotto,2023-03-06,4266,7 9 15 20 24 39 ,5 10 ,ozlotteries.com
Monday Lotto,2023-02-27,4264,6 10 16 26 36 39 ,11 29 ,ozlotteries.com
Monday Lotto,2023-02-20,4262,3 17 19 30 37 38 ,8 28 ,ozlotteries.com
Monday Lotto,2023-02-13,4260,6 11 17 40 41 44 ,10 39 ,ozlotteries.com
Monday Lotto,2023-02-06,4258,6 8 9 20 33 41 ,12 27 ,ozlotteries.com
Monday Lotto,2023-01-30,4256,5 8 11 20 39 42 ,25 38 ,ozlotteries.com
Monday Lotto,2023-01-23,4254,1 2 3 4 34 36 ,18 26 ,ozlotteries.com
Monday Lotto,2023-01-16,4252,6 9 12 32 36 39 ,8 20 ,ozlotteries.com
Monday Lotto,2023-01-09,4250,8 12 15 18 28 45 ,3 13 ,ozlotteries.com
Monday Lotto,2023-01-02,4248,6 10 25 31 42 43 ,9 40 ,ozlotteries.com
Monday Lotto,2022-12-26,4246,7 10 21 33 35 42 ,16 17 ,ozlotteries.com
Monday Lotto,2022-12-19,4244,9 11 20 30 35 40 ,33 45 ,ozlotteries.com
Monday Lotto,2022-12-12,4242,2 21 22 26 29 37 ,16 18 ,ozlotteries.com
Monday Lotto,2022-12-05,4240,9 15 23 25 28 44 ,2 4 ,ozlotteries.com
Monday Lotto,2022-11-28,4238,7 9 20 27 37 38 ,34 36 ,ozlotteries.com
Monday Lotto,2022-11-21,4236,10 22 25 30 33 38 ,17 36 ,ozlotteries.com
Monday Lotto,2022-11-14,4234,1 4 22 39 43 45 ,17 19 ,ozlotteries.com
Monday Lotto,2022-11-07,4232,7 8 28 32 36 41 ,30 42 ,ozlotteries.com
Monday Lotto,2022-10-31,4230,4 6 26 29 38 42 ,14 22 ,ozlotteries.com
Monday Lotto,2022-10-24,4228,2 6 9 21 22 33 ,20 34 ,ozlotteries.com
Monday Lotto,2022-10-17,4226,5 12 13 14 24 45 ,6 31 ,ozlotteries.com
Monday Lotto,2022-01-10,4146,1 8 13 27 31 35 ,4 5 ,ozlotteries.com
Monday Lotto,2022-01-03,4144,10 23 26 35 40 44 ,25 38 ,ozlotteries.com
Monday Lotto,2021-12-27,4142,9 13 22 32 39 45 ,29 41 ,ozlotteries.com
Monday Lotto,2021-12-20,4140,6 16 17 19 23 40 ,2 7 ,ozlotteries.com
Monday Lotto,2021-12-13,4138,2 14 20 27 28 29 ,24 40 ,ozlotteries.com
Monday Lotto,2021-12-06,4136,9 14 17 25 30 41 ,6 16 ,ozlotteries.com
Monday Lotto,2021-11-29,4134,2 6 14 22 36 43 ,12 42 ,ozlotteries.com
Monday Lotto,2021-11-22,4132,3 9 12 25 31 35 ,4 41 ,ozlotteries.com
