date,draw,main_numbers,supplementary
2023-05-06,4361,2 8 13 17 30 35 ,5 34 
2023-04-29,4359,4 15 16 18 35 45 ,11 17 
2023-04-22,4357,4 29 32 34 38 41 ,11 27 
2023-04-15,4355,4 16 23 31 39 43 ,17 18 
2023-04-08,4353,4 6 9 11 13 40 ,18 20 
2023-04-01,4351,5 10 25 36 39 45 ,8 40 
2023-03-25,4349,8 9 10 14 39 42 ,12 31 
2023-03-18,4347,1 6 15 21 43 44 ,34 42 
2023-03-11,4345,1 4 9 10 29 42 ,7 17 
2023-03-04,4343,1 9 13 32 33 34 ,8 15 
2023-02-25,4341,4 12 13 15 29 45 ,2 27 
2023-02-18,4339,8 11 16 24 30 34 ,18 21 
2023-02-11,4337,4 7 19 20 21 22 ,16 17 
2023-02-04,4335,11 27 31 34 39 45 ,5 28 
2023-01-28,4333,7 24 27 30 39 44 ,5 38 
2023-01-21,4331,9 10 11 23 32 40 ,5 17 
2023-01-14,4329,11 19 30 37 39 45 ,3 21 
2023-01-07,4327,2 9 11 17 18 38 ,37 41 
2022-12-31,4325,11 20 23 35 42 45 ,8 38 
2022-12-24,4323,4 7 8 24 32 39 ,17 34 
2022-12-17,4321,3 8 28 36 37 41 ,9 16 
2022-12-10,4319,6 14 22 24 35 44 ,10 39 
2022-12-03,4317,4 8 10 12 15 39 ,37 45 
2022-11-26,4315,12 14 22 29 31 45 ,11 36 
2022-11-19,4313,9 12 14 23 31 43 ,13 29 
2022-11-12,4311,3 6 12 18 31 35 ,9 34 
2022-11-05,4309,12 19 26 29 39 45 ,13 15 
2022-10-29,4307,3 6 7 9 22 42 ,13 16 
2022-10-22,4305,7 17 21 24 35 41 ,5 23 
2022-10-15,4303,5 7 11 12 24 40 ,15 28 
2022-01-08,4223,3 17 20 24 27 29 ,9 18 
2021-12-31,4221,8 14 15 20 32 43 ,31 35 
2021-12-25,4219,6 19 21 30 31 42 ,15 38 
2021-12-18,4217,1 19 25 29 36 44 ,21 35 
2021-12-11,4215,6 12 27 35 37 39 ,2 19 
2021-12-04,4213,8 24 31 39 44 45 ,21 41 
2021-11-27,4211,3 5 27 34 41 45 ,10 24 
2021-11-20,4209,9 17 20 21 25 33 ,4 19 
2021-11-13,4207,17 22 26 29 32 40 ,12 21 
2021-11-06,4205,11 15 28 30 33 39 ,19 35 
